trajectory,dt,action_index,frustration
astropy-13236,15,42,0.673493
astropy-13236,15,43,0.635088
astropy-13236,60,0,0.100000
astropy-13236,60,1,0.100000
astropy-13236,60,2,0.100000
astropy-13236,60,3,0.150000
astropy-13236,60,4,0.137893
astropy-13236,60,5,0.128717
astropy-13236,60,6,0.121764
astropy-13236,60,7,0.216494
astropy-13236,60,8,0.288286
astropy-13236,60,9,0.348754
astropy-13236,60,10,0.296526
astropy-13236,60,11,0.248939
astropy-13236,60,12,0.212874
astropy-13236,60,13,0.230543
astropy-13236,60,14,0.248933
astropy-13236,60,15,0.262870
astropy-13236,60,16,0.223432
astropy-13236,60,17,0.193544
astropy-13236,60,18,0.220893
astropy-13236,60,19,0.191620
astropy-13236,60,20,0.169435
astropy-13236,60,21,0.202622
astropy-13236,60,22,0.227773
astropy-13236,60,23,0.196834
astropy-13236,60,24,0.223386
astropy-13236,60,25,0.193509
astropy-13236,60,26,0.170867
astropy-13236,60,27,0.203707
astropy-13236,60,28,0.328595
astropy-13236,60,29,0.273243
astropy-13236,60,30,0.281293
astropy-13236,60,31,0.287395
astropy-13236,60,32,0.292019
astropy-13236,60,33,0.295523
astropy-13236,60,34,0.298179
astropy-13236,60,35,0.250191
astropy-13236,60,36,0.213824
astropy-13236,60,37,0.336262
astropy-13236,60,38,0.279053
astropy-13236,60,39,0.385697
astropy-13236,60,40,0.366518
astropy-13236,60,41,0.301983
astropy-13236,60,42,0.253074
astropy-13236,60,43,0.216009
astropy-13398,0,0,0.100000
astropy-13398,0,1,0.100000
astropy-13398,0,2,0.100000
astropy-13398,0,3,0.150000
astropy-13398,0,4,0.150000
astropy-13398,0,5,0.150000
astropy-13398,0,6,0.150000
astropy-13398,0,7,0.150000
astropy-13398,0,8,0.200000
astropy-13398,0,9,0.350000
astropy-13398,0,10,0.350000
astropy-13398,0,11,0.350000
astropy-13398,0,12,0.450000
astropy-13398,0,13,0.550000
astropy-13398,0,14,0.665000
astropy-13398,0,15,0.780000
astropy-13398,0,16,0.895000
astropy-13398,0,17,0.895000
astropy-13398,0,18,0.895000
astropy-13398,0,19,0.895000
astropy-13398,0,20,0.895000
astropy-13398,0,21,0.952500
astropy-13398,0,22,0.952500
astropy-13398,0,23,0.952500
astropy-13398,0,24,0.952500
astropy-13398,0,25,0.952500
astropy-13398,0,26,0.952500
astropy-13398,0,27,0.952500
astropy-13398,0,28,0.952500
astropy-13398,0,29,1.000000
astropy-13398,0,30,1.000000
astropy-13398,0,31,1.000000
astropy-13398,0,32,1.000000
astropy-13398,0,33,1.000000
astropy-13398,0,34,1.000000
astropy-13398,0,35,1.000000
astropy-13398,0,36,1.000000
astropy-13398,0,37,1.000000
